编号,中文,英语,定义,注释
2.6.11.5,河床比降,bed slope,沿水流方向，单位水平距离河床的高程差。,
2.6.11.6,水面横比降,transverse slope of water surface,水流受到离心力或其他外力作用而形成的垂直于纵向水流方向的水面比降。,
2.6.11.7,倒比降,inverse slope,沿水流方向，单位水平距离水面的负高程差。,
2.6.11.8,水面落降,surface drawdown,行近河槽中因水流加速通过一个障碍物或一个测站控制而形成的局部水面降落现象。,
2.6.12,水面线,water surface profile,沿水流方向，各断面水体自由水面的连线。,
2.6.12.1,落降曲线,drawdown curve,当河渠的水面比降超过河底比降时的水面轮廓线。,
2.6.12.2,回水曲线,backwater curve,河渠中，从某处阻水建筑物或某一支流汇入口开始向上游方向直至河渠水流处于正常水 深处止的河渠水面轮廓线，为上凹曲线。,
2.6.13,糙率,roughness,糙率系数 roughness coefficient 反映河流或渠道的表面以及输水管道的内壁粗糙程度的一个综合性系数。2.6.14 湿周 wetted perimeter 过流断面上水流与河道或渠道接触部分的润湿边界长度。2.6.15 水力半径 hydraulic radius 过水断面面积与其湿周的比值。,
2.6.16,中泓线,midstream of channel,河道中各横断面表面最大流速点的连线。,
2.6.17,深泓线,thalweg,河道中各横断面最大水深点的连线。,
2.6.18,河流泥沙,fluvial sediment；river sediment,随河水输移、悬浮于河水或在河水中沉积下来的固体颗粒，这些固体颗粒来源于岩石、 生物物质或化学沉淀物。,
2.6.18.1,含沙量,sediment concentration,单位体积浑水中，固体物的干重与浑水的总重量的比值。,
2.6.18.2,输沙率,sediment transport rate,单位时间内通过河流某一横断面的泥沙质量。,
2.6.18.3,总输沙量,total sediment runoff,通过河流某一断面的悬移质和推移质的总和。,
2.6.19,河道水流结构,flow structure in river,河道水流内部运动特征及运动要素的空间分布。,
2.6.19.1,河道水流流速分布,velocity distribution in river,,
2.6.19.2,河道水流能量分布与转换,flow energy distribution and transfer in river,,
2.6.20,泥沙特性,sediment property,泥沙颗粒或泥沙混合物的物理、化学性质。,
2.6.21,土壤侵蚀,soil erosion,在水力、风力、冻融、重力等作用下，土壤、土壤母质及其地面组成物质被破坏、剥蚀、输移和沉积的全过程。,
2.6.21.1,水力侵蚀,water erosion,在降雨和径流作用下，土壤、土壤母质及其地面组成物质被破坏、剥蚀、输移和沉积的 全部过程。,
2.6.21.2,面蚀,surface erosion,在降雨和径流作用下，坡地表土被比较均匀地剥蚀的过程。,注：属水力侵蚀的一种类型。
2.6.21.3,沟蚀,gullying,线状侵蚀 gully erosion 坡面径流冲刷土壤和土体，并割切陆地表面，形成大小沟道的过程。,注：属水力侵蚀的一种类型。
2.6.21.4,山洪侵蚀,torrential flood erosion,山区河流洪水对沟道堤岸的冲淘、对河床的冲刷和淤积的过程。,
2.6.21.5,流域侵蚀,basin erosion,在水力、风力、冻融、重力等作用下，流域地表物质被破坏、剥蚀、输移和沉积等的全过程。,注：在这个过程中，泥沙和石砾冲刷磨蚀地表，并把碎屑物质向下游输移，从而蚀低地表，形成沟谷，；并使其延长、加深和加宽。
2.6.22,全沙,total sediment load,通过某一过水断面的全部泥沙，包括悬移质和推移质。,注：也可以用床沙质和冲泻质的总和表示。
2.6.22.1,悬移质,suspended load,受水流的紊动作用悬浮于水中并随水流移动的泥沙。,
2.6.22.2,推移质,bed load,受水流拖曳力作用沿河床滚动、滑动、跳跃或层移的泥沙。,
2.6.22.3,床沙,bed material,在受泥沙输移影响的那一部分河床中存在的颗粒物质。,
2.6.22.4,床沙质,bed material load,床沙被带起运动，在运动过程中随时与床沙交换的那一部分悬移质和推移质。,
2.6.22.5,冲泻质,wash load,在悬移质中粒径较细、水流输移时不发生沉积的那部分泥沙。,注：冲泻质是因流域冲刷产生的，故某个河段的冲泻质流量仅与流域冲刷产生的泥沙量有关，与河水；的挟沙能力无关。
2.6.23,河流泥沙运动,sediment transport in river,河流中泥沙颗粒在水流作用下的冲刷、输移和堆积过程。,
2.6.23.1,泥沙起动,incipient motion of sediment,河床上的泥沙颗粒从静止状态转入运动状态的现象。,
2.6.23.2,起动流速,incipient velocity,使床面泥沙颗粒从静止状态转入运动瞬间的临界状态的水流的流速。,
2.6.23.3,起动拖曳力,incipient tractive force,使床面泥沙颗粒从静止状态转入运动状态的临界水流切应力。,
2.6.23.4,沙波,sand wave,沙质河床在水流作用下形成的波状起伏并缓慢移动的沙体。,
2.6.23.5,造床流量,channel forming discharge；dominant discharge,,注：即流量比较大，历时又比较长的某一级流量。
2.6.23.6,泥沙密度,density of sediment,,
2.6.23.7,质量密度,specific mass,一定体积泥沙的质量与相同体积水量的质量的比值。,
2.6.23.8,容积密度,bulk density,未受扰动的河流沉积物单位体积（包括沉积物的孔隙）的总干沙质量。,
2.6.24,河流阻力,river flow resistance,,
2.6.24.1,沙粒阻力,grain resistance,河床表面的泥沙颗粒对水流产生的摩擦阻力。,
2.6.24.2,沙波阻力,form resistance of sand wave,,
2.6.25,流域产沙量,sediment yield of watershed,在特定时段内，从一个流域流出或通过河道某个断面输出的泥沙总量，包括悬移质和推 移质。,
2.6.26,水流挟沙能力,sediment transport capacity of flow,,
2.6.27,泥沙输移,sediment transport,河流中泥沙在水流作用下产生的各种输移运动。,
2.6.28,泥沙输移比,sediment transport ratio,在一定时段内，通过断面的输沙总量与该断面以上流域的总侵蚀量的比值。,
2.6.29,高含沙水流,flow with hyperconcentration of sediment,含沙量达到每立方米数百千克或以上，水流规律已不再符合牛顿流体规律的挟沙水流。,
2.6.29.1,浆河现象,clogging of river sediment flow,高含沙水流中含沙量超过某一极限值时，在洪峰突然降落，流速迅速减小的情况下，整          个水流已不能保持流动状态，而是停滞不前形成的河槽堵塞现象。,
2.6.29.2,揭河底现象,tearing of river bed,高含沙水流和高流速水流通过时，河床沿程遭受剧烈冲刷的现象。,
2.6.30,异重流,density current；stratification flow,在重力场中由于流体密度差异而产生的分层流动。,注：也称密度流或重力流。
2.6.30.1,水库异重流,density current in a reservoir,入库的河道挟沙水流潜入水库清水下面形成的分层流动。,
2.6.30.2,河渠异重流,density current in a river and a channel,河流中的浑水潜入相邻“盲肠”河段或渠道内的清水下面形成的分层流动。,注：闭闸期间的闸前引水渠、挡潮闸的下游河段和低水头枢纽的引航道等，都是一端与河流相连通另；一端封闭的盲肠河段。
2.6.31,泥石流,mudflow；debris flow,挟带着大量泥沙和岩屑的水流，这种水流浓稠且粘滞。,
2.6.32,河床演变,fluvial process,在水流与河床相互作用下，河道形态的变化过程。,
2.6.32.1,淤积,sedimentation,因水流挟沙能力小于河水含沙量而引起的泥沙沉积和河床抬高现象。,
2.6.32.2,冲刷,scour,因水流挟沙能力大于河水含沙量而引起的河床冲蚀淘刷现象。,
2.6.32.3,局部冲刷,local scour,因单宽流量增加或局部水流条件改变引起的小范围河床冲蚀淘刷现象。,
2.6.32.4,溯源冲刷,headcut scour,因下游水位跌落而引起自下游向上游发展的河床冲刷现象。,
2.6.32.5,河床质粗化,bed material armoring,河流冲刷过程中因水流逐步冲走河床泥沙中的较细颗粒，使河床泥沙组成变粗的过程。,
2.6.32.6,河型转化,transformation of river pattern,由于来水来沙和河床边界条件的改变引起的各种河流类型间的相互转变过程。,
2.6.33,沙量平衡,sediment balance,河流、水库、湖泊、海湾或其它水域，在一定时段内，泥沙输入量与输出量之差等于该 水域内泥沙的变量。,
2.6.34,河流袭夺,river capture,分水岭一侧侵蚀较快的河流切入另一侧河流，并夺取其上游段某些支流的过程。,
2.6.35,河流冰情,river ice regime,河流冰凌在热力、动力及河道地形条件的作用下，产生结冰、流冰、封冻、解冻、冰塞 和冰坝等现象。,
2.6.35.1,结冰河流,ice-frozen stream,,
2.6.35.2,封冻河流,freeze-up stream,,
2.6.35.3,稳定封冻河流,stable freeze-up stream,有较长封冻时期的河流。,
2.6.35.4,非稳定封冻河流,unstable freeze-up stream,因气温及流量变化等原因，不年年封冻，或在封冻年度里，封冻、解冻频繁的河流。,
2.6.36,结冰,ice-frozen,河流、湖泊、水库等水体水面冻结成冰的现象。,
2.6.36.1,结冰期,ice-frozen period,河流中出现冰情现象至冰凌有明显消融的整个时期。,
2.6.36.2,冰针,ice spicule,在河岸边出现的透明易碎的薄冰，多呈零散的小片状或针状。,
2.6.36.3,圆扁冰,pan-cake ice,水面冰凌受风和冻胀引起的片冰破碎，并相互冲撞磨去棱角形成的圆形或扁圆形浮冰。,
2.6.36.4,冰花,frazil slush,浮于水面或水中的水内冰、冰屑和棉冰等。,
2.6.36.5,水内冰,frazil ice；underwater ice,在水面或冰面以下任何部位结成的冰。,
2.6.36.6,冰屑,shuga,破碎的冰凌，多呈白色片状或海绵状的屑冰。,
2.6.36.7,棉冰,snow ice,落在水面的雪聚集而成的冰。,
2.6.36.8,冰底边,ice base boundary,冰层下表面与河岸接触的位置。,
2.6.36.9,冰礁,ice reef,冻结于河底并露出水面的冰体。,注：由水内冰堆积，或与棉冰、冰凇和冰花等结合而形成，能迅速地从河底增长到水面。
2.6.36.10,冰凇,rime ice,漂浮于水面呈针状或极薄状的冰晶体。,
2.6.36.11,冰桥,ice bridge,上下游均为敞露水面，中间为横跨河面的固定冰盖。,
2.6.36.12,流冰花,slush ice run,冰花随水流流动的现象。,
2.6.36.13,锚冰,anchor ice,水面以下冻结于河底或建筑物上的冰。,
2.6.36.14,表层冰,surface ice；ice cover；ice sheet,,
2.6.36.15,雪冰,slush ice,雪水混合物冻结而成的冰。,
2.6.36.16,浮冰,floating ice,浮于水中的任何形式的冰。,
2.6.37,岸冰,border ice,沿河流、湖泊、水库等水体岸边冻结的冰带。一侧固结于岸边，另一侧浮于水面。,注：根据形成时间和条件的不同，分为初生岸冰、固定岸冰、冲击岸冰、再生岸冰和残余岸冰。
2.6.37.1,初生岸冰,initial border ice,在无风寒冷的夜里，当气温降至 0C 以下，水温达 0C 时，在紧靠岸边的水表面形成的薄的冰带。,
2.6.37.2,固定岸冰,fixed border ice,气温稳定下降至 0C 以下后，初生岸冰逐渐发展成牢固的冰带。,
2.6.37.3,冲积岸冰,agglomerated border ice,受风和水流作用，流动的冰花或冰块被冲到岸边或岸冰边冻结而形成的冰带。,
2.6.37.4,再生岸冰,regenerative border ice,岸冰融解流失后，又遇强寒潮侵袭，在岸边再次生成的冰带。,
2.6.37.5,残余岸冰,residual border ice,春季开河后，残留在岸边的冰带。,
2.6.38,流冰,drift ice,冰块或兼有少量冰花随水流流动的现象。,
2.6.38.1,流冰堆积,drifting ice pack,冰块或冰花在流动中受阻停滞并堆积于局部河段的现象。,
2.6.39,封冻,freeze-up,封河 河段出现横跨两岸的固定冰盖，且敞露水面面积小于河段总面积 20%的现象。,
2.6.39.1,封冻期,freeze-up period,,
2.6.39.2,平封,flat freeze-up,在水流平缓的河段，先产生冰桥，流冰花或冰块沿冰桥平铺上溯，导致河段封冻的现象； 或两岸岸冰较宽，天气骤冷，敞露水面迅速冻结，形成表面较平整封冻冰盖的现象。,
2.6.39.3,立封,upright freeze-up,在水流较急且多浅滩的河段，冰花及碎冰在封冻冰缘前发生堆积相互挤压、重叠倾斜冻 结，封冻冰盖表面形成起伏不平冰堆的现象。,
2.6.39.4,冰盖,ice cover,横跨两岸覆盖水面的固定冰层。,
2.6.39.5,连底冻,grounded ice cover,从水面到河底全断面冻结成冰的现象。,
2.6.39.6,冰丘,ice mound,在封冻冰盖表面，鼓起的锥体或椭球体冰包。,
2.6.39.7,封冻冰缘,ice edge of freeze-up,较长河段敞露水面与封冻冰盖的边界。,
2.6.39.8,冰花路毡,sludge road felt,在两岸岸冰之间，由冰花堆积冻结形成带状的封冻冰层。,
2.6.39.9,冰脊,ice ridge,封冻冰盖表面隆起的垄状冰带。,
2.6.39.10,冰堆,ice pack,平整封冻冰盖表面的突出局部冰体。,注：由冰挤压而冻结在一起，有时分布在冰层表面，有时出现在岸边。
2.6.39.11,冰上结冰,aufeis,冰上水洼、流水、冰上冒水、雪融化遇到寒冷生成的冰。,
2.6.40,解冻,break-up,开河 随着气温的逐渐上升，较长河段没有固定冰盖，敞露水面上下游贯通，其面积超过河段 总面积 20%的现象。,
2.6.40.1,解冻期,break-up period,河流冰凌开始明显消融或封冻冰盖开始消融，至冰情现象全部消失的整个时期。,
2.6.40.2,冰变色,color change of ice cover,融冰过程，封冻冰盖表面颜色发生变化的现象。,
2.6.40.3,冰上冒水,upwelling over ice,从封冻冰盖的缝隙、孔洞等处向上冒水的现象。,
2.6.40.4,冰上有水,accumulation of melt water,,
2.6.40.5,冰上流水,water flow over ice,,
2.6.40.6,层冰层水,ice cover with intercalated water layers,,
2.6.40.7,融冰,thawing,封冻冰盖明显消融，出现冰盖表面积水或面积大小不等的敞露水面的现象。,
2.6.40.8,冰层塌陷,ice sheet depression,封冻冰盖向河心方向的凹陷或断落的现象。,
2.6.40.9,冰层浮起,floating ice cover,封冻冰盖脱离两岸呈整片浮于水面的现象。,
2.6.40.10,冰滑动,dislodging of ice cover,整片或分裂成大面积的封冻冰盖，时而顺流滑动，时而停滞不动的现象。,
2.6.40.11,文开河,tranquil break-up,水势平缓，水位、流量没有急剧变化，主要由热力因素作用引起的开河。,
2.6.40.12,武开河,violent break-up,水势变化急剧，主要由水力因素作用引起的开河。,
2.6.41,冰塞,ice jam,封冻冰盖下面，大量冰花堆积，堵塞了部分水道断面，造成上游水位壅高的现象。,
2.6.42,冰坝,ice dam,大量流冰至浅滩、弯道、卡口及在未解体的冰盖前缘受阻，形成横跨河面并显著壅高上 游水位的冰块堆积体。,
2.6.43,残冰堆积,residual ice accumulation,春季开河，沿河流两岸、沙滩等边缘堆积的冰块。,
2.6.44,清沟,lead,封冻期间，河流中未冻结的狭长水沟。,
2.6.44.1,初生清沟,primary lead,,
2.6.44.2,再生清沟,secondary lead,春季转暖，冰盖消融形成的新清沟。,
2.7.1,河口水文,estuarine hydrology,河流注入海洋、湖泊或其他河流入口段的水流、泥沙和河床演变等水文现象与过程的总称。,
2.7.2,河口水流,estuarine flow,河口地区由径流、潮流、密度流和风海流等组成的非恒定周期性往复水流。,
2.7.3,潮汐,tide,海水面在月球和太阳等引潮力作用下产生的周期性涨落现象。,注：海水的涨落发生在白天叫潮，发生在夜间叫汐。
2.7.3.1,潮差,tidal range,在一个潮汐周期内，相邻高潮位与低潮位的差值。,
2.7.3.2,潮幅,tidal amplitude,在一个潮汐周期内，相邻高潮位与低潮位的差值的二分之一，即半个潮差。,
2.7.3.3,潮位,tidal level,潮水位 受潮汐影响所产生的周期性涨落的水位。,
2.7.3.4,潮型,tide type,在月球和太阳对地球引潮力作用下，潮汐发生周期性涨落的类型。,
2.7.3.5,涨潮,flood tide,一个潮期内，水位上升的过程。,
2.7.3.6,落潮,ebb tide,一个潮期内，水位下降的过程。,
2.7.3.7,高潮,high tide,一个潮汐涨落周期中出现的最高水位。,
2.7.3.8,低潮,low tide,一个潮汐涨落周期中出现的最低水位。,
2.7.3.9,平潮,slack water,高潮时出现的水位短时间不涨不落现象。,
2.7.3.10,停潮,stand of tide,低潮时出现的水位短时间不涨不落现象。,
2.7.3.11,涨潮潮差,flood tidal range,,
2.7.3.12,落潮潮差,ebb tidal range,高潮位至随后的低潮位的差值。,
2.7.3.13,高潮间隙,high lunitidal interval,当地月中天与随后出现的高潮的时间间隔。,
2.7.3.14,低潮间隙,low lunitidal interval,当地月中天与随后出现的低潮的时间间隔。,
2.7.3.15,日潮不等,diurnal tide inequality,一太阴日内发生两潮不规则的现象。,
2.7.4,月中天,lunar transit,月球经过测站子午圈的时间。,注：天顶的一次称“上中天”，天底的一次称“下中天”。
2.7.5,太阴日,lunar day,月球中心连续两次通过地球上同一子午线所需要的时间。,
2.7.6,河口潮汐,estuarine tide,入海河口受外海潮波影响产生的河口水面周期性涨落和河水周期性水平流动的现象。,
2.7.7,河口演变,fluvial process of estuary,河口水流或外海海平面变化引起河口河床的变迁过程。,
2.7.8,引潮力,tide generating force,海洋和潮水河道中，每一个水质点的离心力与该点所受月球和太阳引力的合力。,
2.7.9,天文潮,astronomic tide,受月球和太阳引潮力作用所产生的潮汐现象。,注：由月球引潮力所产生的潮汐称太阴潮，由太阳引潮力所产生的潮汐称太阳潮。
2.7.10,气象潮,meteorological tide,由风、气压、降水、蒸发等水文气象要素变化而引起的海面涨落现象。,注：特大的气象潮称风暴潮。
2.7.11,潮汐周期,tidal cycle,潮汐在一个潮汐日、半个朔望月或更长时间内的涨落变化周期。,
2.7.11.1,半日潮,semidiurnal tide,在一太阴日内，出现两次高潮和两次低潮，且两次高潮潮位或两次低潮潮位几乎相等的          潮。,注：我国渤海、东海、黄海的多数地点为半日潮型，如大沽、青岛、厦门等。
2.7.11.2,全日潮,diurnal tide,在一太阴日内，出现一次高潮和一次低潮的潮。,注：如南海汕头、渤海秦皇岛等。南海的北部湾是世界上典型的全日潮海区。
2.7.11.3,混合潮,mixed tide,半日潮和全日潮之间的过渡潮型。,注：我国南海多数地点属混合潮型。
2.7.11.4,大潮,spring tide,朔望潮 朔、望日后 1～3d，由月球引潮力与太阳引潮力相叠加而形成的潮差最大的潮。,注：朔为农历每月的初一，望为农历每月的十五。
2.7.11.5,小潮,neap tide,上弦、下弦后 1～3d，由月球引潮力与太阳引潮力相减而形成的潮差最小的潮。注：上弦为农历每月的初七或初八，下弦为农历每月的二十二或二十三。,
2.7.11.6,中潮,moderate tide,在朔望和上下弦之间，介于大潮和小潮之间逐渐增减变化的潮。,
2.7.11.7,潮汐日,tidal day,在一条地方子午线上，月亮的两次上中天之间的时间间隔。,注：约为 24.84h。
2.7.12,潮历时,duration of tide,相邻两次低（高）潮的间隔时间。,注：通常，一个半日潮的潮历时是 12.42h，一个全日潮的潮历时是 24.84h。；；；；；；；；；；；
2.7.12.1,涨潮历时,duration of tidal rise,一个潮期内，从低潮位至随后的高潮位的间隔时间。,
2.7.12.2,落潮历时,duration of tidal fall,一个潮期内，从高潮位至随后的低潮位的间隔时间。,
2.7.13,潮流,tidal current,海水在月球和太阳引潮力作用下产生的周期性水平流动。,
2.7.13.1,涨潮流,flood tidal current,沿河槽向内陆流动的潮流。,
2.7.13.2,落潮流,ebb tidal current,沿河槽向海洋流动的潮流。,
2.7.13.3,憩流,slack tide,涨潮流与落潮流交替之际，潮流短暂停止流动的现象。,注：落潮流转为涨潮流的憩流为落潮憩流；涨潮流转为落潮流的憩流为涨潮憩流。
2.7.13.4,潮流速,tidal velocity,潮流中水质点沿水平方向流动的速度。,
2.7.13.5,往复流,alternating tidal current；reversing tidal current,因受边界和地形限制，水质点大致在一个水平方向作周期性往复运动的潮流。,
2.7.13.6,旋转流,rotary current,在流速变化的同时流向不断旋转的潮流。,
2.7.14,潮流期,duration of tidal current,相邻两次落潮憩流的间隔时间。,
2.7.14.1,涨潮流历时,duration of flood tidal current,从落潮憩流至下一个涨潮憩流的间隔时间。,
2.7.14.2,落潮流历时,duration of ebb tidal current,,
2.7.15,进潮量,tidal prism,涨潮时，进入潮汐河槽的水量。,
2.7.16,涌潮,tidal bore,发生在潮差较大的喇叭口形河口或海湾的潮水暴涨现象。,
2.7.17,潮汐调和分析,harmonic analysis of tide,根据实际观测的潮汐资料，将潮汐分解为许多简谐振动的分潮，以计算各个分潮调和常数的方法。,
2.7.18,潮位历时曲线,duration curve of tidal level,潮位历时累积频率曲线 反映潮位与其相对历时的关系曲线。,
2.7.19,河口拦门沙,estuarine bar,河口口门附近河床上由于泥沙淤积而隆起的地貌形态。,
2.7.20,河口三角洲,estuarine delta,河水挟带的泥沙在河口沉积并不断向外海延伸而形成的三角形淤积体。,
2.7.21,滩涂,tidal flat,海涂          地面高程介于高、低潮位之间的地带。,
2.8.1,湖泊,lake,陆地上洼地积水形成的、水域比较宽阔、换流缓慢的水体。,
2.8.1.1,外流湖,exorheic lake,湖水与外河流相通，最终汇入海洋的湖泊。,
2.8.1.2,内流湖,endorheic lake,没有地表或地下出流，入流仅耗损于蒸发的湖泊。,
2.8.1.3,淡水湖,fresh lake,湖水含盐量小于 1000mg/L 的湖泊。,
2.8.1.4,咸水湖,salt water lake,湖水含盐量在 1000～35000mg/L 的湖泊。,
2.8.1.5,盐湖,saline lake,湖水含盐量大于 35000mg/L 的湖泊。,
2.8.1.6,季节性湖泊,ephemeral lake；seasonal lake,,
2.8.1.7,富营养湖泊,eutrophic lake,湖水中氮、磷等营养盐丰富，藻类生长旺盛，氧浓度低的湖泊。,
2.8.1.8,贫营养湖泊,oligotrophic lake,湖水中植物营养盐不足，溶解氧丰富，且湖水没有显著分层现象的湖泊。,
2.8.1.9,中营养湖泊,mesotrophic lake,,
2.8.1.10,构造湖,tectonic lake,因地质构造运动产生的地壳断陷、坳陷和沉陷等构造凹地所形成的湖泊。,注：通常具有细长的形态，陡的边坡和大的深度。
2.8.1.11,冰川湖,glacial lake,由冰川挖蚀成的洼坑和冰碛沉积物堵塞冰川槽谷而形成的湖泊。,
2.8.1.12,火山湖,volcanic lake,因火山喷发引起局部塌陷变成湖盆而形成的湖泊。,注：其外形多是漏斗状，湖面面积不大，湖水较深。
2.8.1.13,堰塞湖,barrier lake；imprisoned lake,,注：常由火山喷发、山崩、地震、滑坡、泥石流的熔岩流、崩塌岩石、流动沙丘等造成。
2.8.1.14,河成湖,fluviatile lake,因河流改道、截弯取直、淤积等，使原河道变成湖盆而形成的湖泊。,注：其外形特点多是弯月形或牛轭形，故又称牛轭湖。
2.8.1.15,半对流湖泊,meromictic lake,不同水层的湖水无法完全混合的湖泊。,注：即湖水只经过部分循环过程。
2.8.2,湖流,lake current,湖泊中大致沿某一方向前进运动的水流，根据成因可分为梯度流和漂流。,
2.8.2.1,梯度流,gradient current,湖面倾斜时产生的一种湖水流动。,
2.8.2.2,漂流,drift current,由盛行风对湖面持续作用所产生切应力引起的湖水流动。,
2.8.3,湖浪,lake wave,湖水质点在外力作用下围绕其平衡位置作周期性振动并沿一定方向传播的现象。,
2.8.4,湖泊波漾,lake seiche,因地震、控制闸门运行、风或大气压的变化引起的湖面振荡。,
2.8.5,湖泊增减水,lake wind denivellation,因强风作用或气压骤变，表层湖水从湖泊背风岸移至迎风岸的现象。,
2.8.6,湖泊率,lake percentage；lake ratio,,
2.8.7,湖泊补给系数,recharge coefficient of lake,,
2.8.8,湖泊换水周期,lake residence period,湖泊容积与多年平均出湖径流量的比值。,
2.8.9,湖盆,lake basin,蓄纳湖水的地表洼地。,
2.8.10,湖面高程,elevation of lake,湖面水位的海拔高度。,
2.8.11,岛屿率,insulosity,湖泊内所有岛屿总面积与湖泊面积的比值。,
2.8.12,湖泊分层,lake stratification；lake layering,湖泊内不同水深的水质、水温、含沙量存在明显差异的现象。,
2.8.12.1,正温层,direct thermal stratification,湖水温度沿垂线分布，上层温度较高而下层较低，但不低于 4℃的状况。,
2.8.12.2,逆温层,inverse thermal stratification,在气温降至 4℃以下时，湖水温度沿垂线分布，上层温度较低而下层较高，但不高于 4℃的状况。,
2.8.13,湖泥,lacustrine muck,湖泊沉积物经过交合作用形成的淤泥。,注：为含无机物和有机物微粒的组成体。
2.8.14,湖泊形态参数,morphometric parameter of lake,湖泊的面积、容量、宽度、长度、深度、岸线发育系数等形态特征参数的统称。,
2.8.14.1,湖泊面积,area of lake,,
2.8.14.2,湖泊容量,storage of lake,,
2.8.14.3,湖泊长度,length of lake,湖岸线上相距最远的两点之间的直线距离。,
2.8.14.4,湖泊平均宽度,mean width of lake,,
2.8.14.5,湖泊最大深度,maximum depth of lake,湖面至湖盆最低处的垂直距离。,
2.8.14.6,湖泊平均深度,mean depth of lake,,
2.8.14.7,湖泊深度分布曲线,depth-area curve of lake,湖泊的深度与相应的湖水面积之间的关系曲线。,
2.8.14.8,湖泊岸线长度,length of lake shoreline,,注：包括湖内岛屿的岸线长度。
2.8.14.9,湖泊岸线发育系数,development coefficient of lake shoreline,,
2.8.15,湖泊沉积,lake sedimentation,由于物理、化学和生物作用，湖水中的物质在湖内下沉和堆积的过程。,
2.8.16,水库,reservoir,由坝、闸、堤、堰等挡水建筑物筑成，用以蓄水，并起径流调节作用的蓄水区域。,
2.8.16.1,水库消落带,fluctuating zone of reservoir,季节性水位涨落使水库库区被淹没土地周期性出露于水面的区域。,
2.8.16.2,水库消落深度,reservoir drawdown,水库正常蓄水位与死水位之间的高程差。,
2.8.16.3,日调节水库,daily regulation reservoir,能对 1 日内的入库径流进行重新分配的水库。,
2.8.16.4,周调节水库,weekly regulation reservoir,能对 1 周内的入库径流进行重新分配的水库。,
2.8.16.5,水库年调节,annual regulation reservoir,能对 1 年内的入库径流进行重新分配的水库。,
2.8.16.6,水库多年调节,multi-annual regulation reservoir,,
2.8.17,水库特征水位,characteristic level of reservoir,水库工程为完成不同任务在不同时期和各种水文情况下，需控制达到或允许消落的各种库水位。,注：如正常蓄水位、死水位、防洪限制水位、防洪高水位、设计洪水位、校核洪水位等。
2.8.17.1,正常蓄水位,normal top water level,正常运行情况下，水库允许达到的最高水位。,
2.8.17.2,死水位,dead water level,正常运用情况下，水库允许消落到的最低水位。,
2.8.17.3,防洪限制水位,lower limit water level for flood control,汛期允许水库兴利蓄水的上限水位，也是汛期水库防洪运用时的起调水位。,
2.8.17.4,防洪高水位,upper water level for flood control,遇到下游防护对象设防洪水时，水库允许达到的最高水位。,
2.8.17.5,设计洪水位,design flood level,遇到设计洪水时，水库允许达到的最高水位。,
2.8.17.6,校核洪水位,check flood level,遇到校核洪水时，水库允许达到的最高水位。,
2.8.18,库容,reservoir storage,水库某一水位以下或两水位之间的蓄水容积。,注 1：通常均指大坝坝前水位水平面以下的静库容。；注 2：表征水库规模的主要指标。
2.8.18.1,静库容,static storage,坝上游水位水平面以下或两特征水位水平面之间的蓄水容积。,
2.8.18.2,动库容,dynamic storage,水库库区回水水面与坝上游水位水平面之间的蓄水容积。,
2.8.18.3,库容曲线,stage-storage curve,水库水位与库容的关系曲线。,
2.8.19,水库特征库容,characteristic storage of reservoir,,注：如死库容、兴利库容（调节库容）、防洪库容、调洪库容、重叠库容、总库容等。
2.8.19.1,死库容,dead storage,死水位以下的蓄水容积。,
2.8.19.2,兴利库容,utilizable storage；live storage；beneficial storage,正常蓄水位至死水位之间的蓄水容积。,
2.8.19.2,调节库容,regulating storage,正常蓄水位至死水位之间的蓄水容积。,
2.8.19.3,防洪库容,storage for regulating designated standard flood,,
2.8.19.4,调洪库容,storage for regulating check flood,校核洪水位至防洪限制水位之间的蓄水容积。,
2.8.19.5,重叠库容,overlapping storage,正常蓄水位至防洪限制水位之间的蓄水容积。,
2.8.19.6,总库容,total storage,校核洪水位以下的蓄水容积。,
2.8.20,水库渗漏,reservoir seepage,水库蓄水沿岩石的孔隙、裂隙、断层、溶洞等向库岸分水岭外的沟谷低地渗水的现象。,注：可分为坝区渗漏和库区渗漏。
2.8.21,水库淤积,reservoir sedimentation,因流入水库的水流速度减小，入流所挟带的泥沙在库区堆积的现象。,
2.8.21.1,水库三角洲,reservoir delta,入库水流所挟带泥沙在库区尾部入库河口段沉积所形成的扇形堆积体。,
2.8.21.2,水库回水变动区,backwater zone of reservoir,水库最低水位和最高水位两条回水曲线端点之间的河段。,
2.8.21.3,坝区泥沙淤积,sedimentation at dam vicinity,入库径流挟带的泥沙在大坝附近一定范围内的淤积。,
2.8.22,水库水量损失,water loss of reservoir,兴建水库后，因改变河流天然状态、库内外水力关系所引起的水量损失。,注：主要包括蒸发损失、渗漏损失和结冰损失等。
2.8.23,水库泥沙观测,measurement of reservoir sediment,对水库库区的泥沙含量、运行规律及有关性质的测验和分析。,
2.8.24,水库拦沙效率,sediment trap efficiency of reservoir,一定时段内水库拦截的泥沙量占入库泥沙总量的百分数。,
2.8.25,水库水文效应,hydrological effect of reservoir,水库蓄水后，导致库区、下游以及受水区水文特征发生变化的现象。,
